Conceptual size,Story,X-axis label,Y-axis label,Data value 1,Data value 2,Data value 3,Data value 4
Concep. small,Global share of internet users accessing e-mail services as of 2nd quarter of 2025.,Age group,Share of internet users (percentage),77.4,77.4,85,85.6
Concep. small,"Global youth literacy rate between 2020 and 2024, by gender.",Year,Literacy rate (percentage),94,91,94,92
Concep. small,"Distribution of social media platform usage in Brazil as of August 2024, by gender.",Social media platform,Share of respondents (percentage),49,51,49,51
Concep. small,Revenue in the footwear market between the U.S. and China in 2020 and 2025.,Year,Revenue in the footwear market in billion U.S. dollars,81.67,76.23,101.36,86.92
Concep. big,Number of threatened animal species between Mexico and Brazil as of 2024.,Country,Number of threatened species,390,370,441,378
Concep. big,Cumulative number of people in the U.S. and Russia who have traveled to space in 1979 vs. 1981,Year,Number of people who traveled who space,44,45,47,50
Concep. big,Number of rural hospitals closed or at risk of closures in 2025 between Texas and Tennessee.,State,Number of hospitals,25,21,15,15
Concep. big,"Maternal and pregnancy-related mortality rates in the U.S. between 2018 and 2021, by maternity care acess",Maternity care access,"Mortality rates per 100,000 live births",24.04,35.63,23.62,34.72
